排名,名称,评分,上映时间,主演
87,海豚湾,8.9,2009-07-31(美国),"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯        "
88,忠犬八公物语,9.0,1987-08-01(日本),"仲代达矢,春川真澄,井川比佐志        "
89,上帝之城,8.9,2002-08-30(巴西),"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺        "
90,辩护人,8.8,2013-12-18(韩国),"宋康昊,郭度沅,吴达洙        "
91,七武士,9.1,1954-04-26(日本),"三船敏郎,志村乔,千秋实        "
92,一一,8.9,2000-09-20(法国),"吴念真,金燕玲,李凯莉        "
93,完美的世界,8.9,1993-11-24(美国),"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟        "
94,海洋,9.0,2011-08-12,"雅克·贝汉,姜文,兰斯洛特·贝汉        "
95,爱·回家,9.0,2002-04-05(韩国),"俞承豪,金艺芬,童孝熙        "
96,黄金三镖客,8.9,1966-12-23(意大利),"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫        "
97,我爱你,9.0,2011-02-17(韩国),"宋在浩,李顺才,尹秀晶        "
98,迁徙的鸟,9.1,2001-12-12(法国),"雅克·贝汉,Philippe Labro        "
99,阿飞正传,8.8,2018-06-25,"张国荣,张曼玉,刘德华        "
100,英雄本色,9.2,2017-11-17,"狄龙,张国荣,周润发        "
